Date,Bill of Lading,Location,Customer,Product,Volume,,
3/01/2024,8141302145,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL-WAROONA EX KEWDALE,ULSD 10PPM,"35,492",,
3/01/2024,8141302145,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL-WAROONA EX KEWDALE,ULSD 10PPM,"38,097",,
3/01/2024,8141302145,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL-WAROONA EX KEWDALE,ULSD 10PPM,639,,
3/01/2024,8141302145,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL-WAROONA EX KEWDALE,ULSD 10PPM,686,,
3/01/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,"-35,484",,
3/01/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,"-38,095",,
3/01/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,-717,,
3/01/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,-770,,
3/01/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,"20,986",,
3/01/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,"38,095",,
3/01/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,424,,
3/01/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,770,,
3/01/2024,324052,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL-NORTH DANDALUP,ULSD 10PPM,"14,498",,
3/01/2024,324052,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL-NORTH DANDALUP,ULSD 10PPM,364,,
