event_id,vehicle_id,vehicle,driver,detection_time,utc_offset,event_type,detected_event_type,duration_seconds,speed_kph,travel_metres,latitude,longitude,audio_alert,vibration_alert,trip_distance_metres,trip_time_seconds,confirmation,confirmation_time,classification,fleet,timezone,account,service_provider,shift,crew,guardian_unit,software_version,labels,,,
2423664734,112335,1HUT976,,4/3/2024,480,fatigue,fatigue,1.5,17,7,-27.4833,120.5391,yes,yes,4941,1254,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011083,1.4.7.493490,,,,
2423665199,19086,1DCG936,,4/3/2024,480,fatigue,fatigue,1.9,103,55,-30.8331,117.7466,yes,yes,13782,1201,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00010559,1.4.6.487803,,,,
2423665466,19086,1DCG936,,4/3/2024,480,fatigue,fatigue,2.2,102,63,-30.8331,117.6921,yes,yes,18991,1382,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00010559,1.4.6.487803,,,,
2423665496,19086,1DCG936,,4/3/2024,480,fatigue,fatigue,1.8,102,52,-30.8331,117.6975,yes,yes,18479,1364,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00010559,1.4.6.487803,,,,
2423665789,19086,1DCG936,,4/3/2024,480,fatigue,fatigue,1.8,102,51,-30.8335,117.5654,yes,yes,31119,1808,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00010559,1.4.6.487803,,,,
2423665940,19086,1DCG936,,4/3/2024,480,fatigue,fatigue,1.9,93,49,-30.8264,117.5215,yes,yes,35460,1966,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00010559,1.4.6.487803,,,,
2423676043,112335,1HUT976,,4/3/2024,480,fatigue,fatigue,2.1,93,54,-27.9911,119.9729,yes,yes,139334,6569,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011083,1.4.7.493490,,,,
2423672189,37775,1DBC759,,4/3/2024,480,fatigue,fatigue,1.9,,,,,yes,yes,0,269,normal driving,4/3/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011087,1.4.7.493490,,,,
2423673502,21373,MD8410,,4/3/2024,480,fatigue,fatigue,2.9,44,36,-32.523,118.922,yes,yes,66856,23581,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423673631,21373,MD8410,,4/3/2024,480,fatigue,fatigue,1.9,71,38,-32.5229,118.9289,yes,yes,67494,23619,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423673642,21373,MD8410,,4/3/2024,480,fatigue,fatigue,2.4,67,45,-32.5229,118.927,yes,yes,67321,23610,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
