Date,Bill of Lading,Location,Customer,Product,Volume
,,,,,
GERALDTON 3PL TOTAL,,,,,
10.06.2025,8148327859,AU TERM KALGOORLIE,NSR - ORELIA MINE SITE SURFACE,ULSD 10PPM,"-1,679"
10.06.2025,8148327859,AU TERM KALGOORLIE,NSR - ORELIA MINE SITE SURFACE,ULSD 10PPM,"-1,858"
10.06.2025,8148366810,AU TERM KALGOORLIE,NSR - STH KALG - RIVET SURFACE,ULSD 10PPM,-223
10.06.2025,8148353568,AU TERM KALGOORLIE,KARORA BETA HUNT MINING,ULSD 10PPM,-554
10.06.2025,8148353568,AU TERM KALGOORLIE,KARORA BETA HUNT MINING,ULSD 10PPM,-604
10.06.2025,8148375510,AU TERM KALGOORLIE,TOLEDO AUSCO - RAYJAX FUEL FACILITY,ULSD 10PPM,-527
10.06.2025,8148375533,AU TERM KALGOORLIE,SILVER LAKE MAXWELLS PIT,ULSD 10PPM,-737
10.06.2025,8148375550,AU TERM KALGOORLIE,SILVER LAKE FRENCH KISS,ULSD 10PPM,-568
10.06.2025,8148374793,AU TERM KALGOORLIE,KCGM MT CHARLOTTE,ULSD 10PPM,-224
10.06.2025,8148374382,AU TERM KALGOORLIE,ST IVES LEFROY (S061),ULSD 10PPM,-171
10.06.2025,8148374385,AU TERM KALGOORLIE,ST IVES LEVIATHAN (S062),ULSD 10PPM,-341
10.06.2025,8148374385,AU TERM KALGOORLIE,ST IVES LEVIATHAN (S062),ULSD 10PPM,-205
10.06.2025,8148353649,AU TERM KALGOORLIE,ST IVES MLG (HAULAGE) (S063),ULSD 10PPM,-176
10.06.2025,8148353649,AU TERM KALGOORLIE,ST IVES MLG (HAULAGE) (S063),ULSD 10PPM,-490
10.06.2025,8148379130,AU TERM KALGOORLIE,TOLEDO AUSCO - RAYJAX FUEL FACILITY,ULSD 10PPM,-795
10.06.2025,8148357825,AU TERM KALGOORLIE,TOLEDO AUSCO - MLG SURFACE,ULSD 10PPM,"23,701"
10.06.2025,8148357826,AU TERM KALGOORLIE,TOLEDO AUSCO - KUNDANA POWER STATIO,ULSD 10PPM,"33,949"
10.06.2025,8148365272,AU TERM KALGOORLIE,KARORA HIGGINSVILLE POWER LV,ULSD 10PPM,"41,441"
10.06.2025,8148365272,AU TERM KALGOORLIE,KARORA HIGGINSVILLE POWER LV,ULSD 10PPM,"30,981"
10.06.2025,8148363716,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,"37,974"
10.06.2025,8148363716,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,"41,521"
10.06.2025,8148363716,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,"41,350"
10.06.2025,8148327859,AU TERM KALGOORLIE,NSR - ORELIA MINE SITE SURFACE,ULSD 10PPM,"41,497"
10.06.2025,8148327859,AU TERM KALGOORLIE,NSR - ORELIA MINE SITE SURFACE,ULSD 10PPM,"37,451"
10.06.2025,8148327859,AU TERM KALGOORLIE,NSR - ORELIA MINE SITE SURFACE,ULSD 10PPM,"41,453"
10.06.2025,8148366810,AU TERM KALGOORLIE,NSR - STH KALG - RIVET SURFACE,ULSD 10PPM,"16,475"
10.06.2025,8148353568,AU TERM KALGOORLIE,KARORA BETA HUNT MINING,ULSD 10PPM,"37,224"
10.06.2025,8148353568,AU TERM KALGOORLIE,KARORA BETA HUNT MINING,ULSD 10PPM,"40,599"
10.06.2025,8148375510,AU TERM KALGOORLIE,TOLEDO AUSCO - RAYJAX FUEL FACILITY,ULSD 10PPM,"16,461"
10.06.2025,8148375533,AU TERM KALGOORLIE,SILVER LAKE MAXWELLS PIT,ULSD 10PPM,"42,501"
10.06.2025,8148375550,AU TERM KALGOORLIE,SILVER LAKE FRENCH KISS,ULSD 10PPM,"32,666"
10.06.2025,8148374793,AU TERM KALGOORLIE,KCGM MT CHARLOTTE,ULSD 10PPM,"16,475"
10.06.2025,8148374382,AU TERM KALGOORLIE,ST IVES LEFROY (S061),ULSD 10PPM,"8,700"
10.06.2025,8148374385,AU TERM KALGOORLIE,ST IVES LEVIATHAN (S062),ULSD 10PPM,"28,522"
10.06.2025,8148374385,AU TERM KALGOORLIE,ST IVES LEVIATHAN (S062),ULSD 10PPM,"17,161"
10.06.2025,8148353649,AU TERM KALGOORLIE,ST IVES MLG (HAULAGE) (S063),ULSD 10PPM,"14,700"
10.06.2025,8148353649,AU TERM KALGOORLIE,ST IVES MLG (HAULAGE) (S063),ULSD 10PPM,"40,934"
10.06.2025,8148379130,AU TERM KALGOORLIE,TOLEDO AUSCO - RAYJAX FUEL FACILITY,ULSD 10PPM,"24,859"
11.06.2025,8148370668,AU TERM KALGOORLIE,TOLEDO AUSCO - Mill,ULSD 10PPM,-435
11.06.2025,8148378170,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,-705
11.06.2025,8148378170,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,-707
11.06.2025,8148378170,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,-527
11.06.2025,8148359978,AU TERM KALGOORLIE,CLOSED TOLEDO AUSCO - PARADIGM,ULSD 10PPM,"-2,542"
11.06.2025,8148354312,AU TERM KALGOORLIE,KARORA HIGGINSVILLE ATREDES,ULSD 10PPM,"-1,176"
11.06.2025,8148354314,AU TERM KALGOORLIE,KARORA HIGGINSVILLE POWER LV,ULSD 10PPM,-639
11.06.2025,8148373345,AU TERM KALGOORLIE,TOLEDO AUSCO - MILLENIUM SURFACE,ULSD 10PPM,-189
11.06.2025,8148370365,AU TERM KALGOORLIE,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"-1,042"
11.06.2025,8148370365,AU TERM KALGOORLIE,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,-686
11.06.2025,8148370365,AU TERM KALGOORLIE,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"-1,002"
11.06.2025,8148370365,AU TERM KALGOORLIE,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"-1,177"
11.06.2025,8148371674,AU TERM KALGOORLIE,TOLEDO AUSCO-MUNGARI (WHITE FOIL),ULSD 10PPM,-438
11.06.2025,8148371676,AU TERM KALGOORLIE,TOLEDO AUSCO - FROG'S LEGS,ULSD 10PPM,-344
11.06.2025,8148377121,AU TERM KALGOORLIE,TOLEDO AUSCO - MLG SURFACE,ULSD 10PPM,-490
11.06.2025,8148382403,AU TERM KALGOORLIE,ST IVES INV STH (WEIGHBRIDGE) S060,ULSD 10PPM,-99
11.06.2025,8148382403,AU TERM KALGOORLIE,ST IVES INV STH (WEIGHBRIDGE) S060,ULSD 10PPM,-472
11.06.2025,8148382406,AU TERM KALGOORLIE,ST IVES INVINCIBLE (S068),ULSD 10PPM,-446
11.06.2025,8148382406,AU TERM KALGOORLIE,ST IVES INVINCIBLE (S068),ULSD 10PPM,-383
11.06.2025,8148369145,AU TERM KALGOORLIE,NSR - STH KALG - ACM/NSMS SURFACE,ULSD 10PPM,-223
11.06.2025,8148393601,AU TERM KALGOORLIE,TOLEDO AUSCO - MLG SURFACE,ULSD 10PPM,"-1,087"
11.06.2025,8148393601,AU TERM KALGOORLIE,TOLEDO AUSCO - MLG SURFACE,ULSD 10PPM,-224
11.06.2025,8148393195,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,-716
11.06.2025,8148393195,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,-715
11.06.2025,8148393195,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,-585
11.06.2025,8148393195,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,-446
11.06.2025,8148393196,AU TERM KALGOORLIE,TOLEDO AUSCO - MILLENIUM SURFACE,ULSD 10PPM,-189
11.06.2025,8148394428,AU TERM KALGOORLIE,KARORA HIGGINSVILLE TWO BOYS,ULSD 10PPM,-693
11.06.2025,8148393182,AU TERM KALGOORLIE,KARORA HIGGINSVILLE POWER LV,ULSD 10PPM,-638
11.06.2025,8148393182,AU TERM KALGOORLIE,KARORA HIGGINSVILLE POWER LV,ULSD 10PPM,-132
11.06.2025,8148393517,AU TERM KALGOORLIE,GENESIS MINERALS GWALIA POWERHOUSE,ULSD 10PPM,-837
11.06.2025,8148389579,AU TERM KALGOORLIE,GSM WALLABY,ULSD 10PPM,"-1,508"
11.06.2025,8148389579,AU TERM KALGOORLIE,GSM WALLABY,ULSD 10PPM,"-1,361"
11.06.2025,8148389579,AU TERM KALGOORLIE,GSM WALLABY,ULSD 10PPM,"-1,506"
11.06.2025,8148399402,AU TERM KALGOORLIE,GENESIS MINERALS GWALIA MAIN TANKS,ULSD 10PPM,"-1,090"
11.06.2025,8148399402,AU TERM KALGOORLIE,GENESIS MINERALS GWALIA MAIN TANKS,ULSD 10PPM,"-1,042"
11.06.2025,8148379903,AU TERM KALGOORLIE,NSR - KANOWNA BELLE SURFACE,ULSD 10PPM,-406
11.06.2025,8148379903,AU TERM KALGOORLIE,NSR - KANOWNA BELLE SURFACE,ULSD 10PPM,-449
11.06.2025,8148393620,AU TERM KALGOORLIE,TOLEDO AUSCO-MUNGARI (WHITE FOIL),ULSD 10PPM,-155
11.06.2025,369438,AU TERM KALGOORLIE,TOLEDO AUSCO - KUNDANA POWER STATIO,ULSD 10PPM,-104
11.06.2025,8148370668,AU TERM KALGOORLIE,TOLEDO AUSCO - Mill,ULSD 10PPM,"37,976"
11.06.2025,8148378170,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,"41,442"
11.06.2025,8148378170,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,"41,559"
11.06.2025,8148378170,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,"30,987"
11.06.2025,8148359978,AU TERM KALGOORLIE,CLOSED TOLEDO AUSCO - PARADIGM,ULSD 10PPM,"32,651"
11.06.2025,8148354312,AU TERM KALGOORLIE,KARORA HIGGINSVILLE ATREDES,ULSD 10PPM,"37,973"
11.06.2025,8148354314,AU TERM KALGOORLIE,KARORA HIGGINSVILLE POWER LV,ULSD 10PPM,"41,523"
11.06.2025,8148373345,AU TERM KALGOORLIE,TOLEDO AUSCO - MILLENIUM SURFACE,ULSD 10PPM,"16,472"
11.06.2025,8148370365,AU TERM KALGOORLIE,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"36,800"
11.06.2025,8148370365,AU TERM KALGOORLIE,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"24,249"
11.06.2025,8148370365,AU TERM KALGOORLIE,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"35,393"
11.06.2025,8148370365,AU TERM KALGOORLIE,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"41,581"
