Date,Bill of Lading,Location,Customer,Product,Volume,,
1/3/2024,8141235345,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"43,762",,
1/3/2024,8141235345,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"47,738",,
1/3/2024,8141235345,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,665",,
1/3/2024,8141235345,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,907",,
1/3/2024,8141243661,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"44,227",,
1/3/2024,8141243661,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"47,773",,
1/3/2024,8141243661,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,693",,
1/3/2024,8141243661,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,909",,
1/3/2024,8141239897,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"44,158",,
1/3/2024,8141239897,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"47,868",,
1/3/2024,8141239897,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,689",,
1/3/2024,8141239897,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,915",,
1/3/2024,8141239898,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"37,237",,
1/3/2024,8141239898,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"40,536",,
1/3/2024,8141239898,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,268",,
1/3/2024,8141239898,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,469",,
1/3/2024,8141279375,AU TERM KEWDALE,BGC THE LAKES,ULSD 10PPM,"35,600",,
1/3/2024,8141279375,AU TERM KEWDALE,BGC THE LAKES,ULSD 10PPM,431,,
1/3/2024,8141279846,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"37,465",,
1/3/2024,8141279846,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"37,648",,
1/3/2024,8141279846,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,723,,
1/3/2024,8141279846,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,727,,
1/3/2024,8141288162,AU TERM KEWDALE,BFS ENERGY,ULSD 10PPM,"38,012",,
1/3/2024,8141288162,AU TERM KEWDALE,BFS ENERGY,ULSD 10PPM,408,,
1/3/2024,8141290877,AU TERM KEWDALE,SOUTH32 WORSLEY REFINERY GARAGE,ULSD 10PPM,"24,504",,
1/3/2024,8141290877,AU TERM KEWDALE,SOUTH32 WORSLEY REFINERY GARAGE,ULSD 10PPM,"1,127",,
1/3/2024,8141290877,AU TERM KEWDALE,SOUTH32 WORSLEY REFINERY GARAGE,Regular Unleaded Petrol 91 Octane,"1,001",,
1/3/2024,8141290877,AU TERM KEWDALE,SOUTH32 WORSLEY REFINERY GARAGE,Regular Unleaded Petrol 91 Octane,46,,
